antiguedad,num_dt,incidencia,financiacion,descuentos,conexion,TV,target
2018,,,,,FIBRA,tv-futbol,0.0
2017,,,,SI,FIBRA,tv-futbol,0.0
2001,,,,SI,ADSL,tv-futbol,0.0
2015,,,,,FIBRA,tv-familiar,0.0
1997,2.0,,,,ADSL,tv-futbol,1.0
1997,,,,,FIBRA,tv-futbol,0.0
1996,,,SI,,ADSL,tv-futbol,0.0
2004,,,,,ADSL,tv-futbol,0.0
2018,,,,,ADSL,tv-total,0.0
2000,1.0,,,,ADSL,tv-total,1.0
2004,,,,SI,ADSL,tv-futbol,0.0
2011,,,,SI,FIBRA,tv-total,0.0
2019,,,,,FIBRA,tv-familiar,0.0
1999,,,,,ADSL,tv-futbol,0.0
1998,,,SI,,ADSL,tv-familiar,0.0
2004,,SI,,,ADSL,tv-familiar,1.0
2010,,,,,ADSL,tv-familiar,0.0
2016,,,,SI,ADSL,tv-familiar,0.0
2007,,,,,FIBRA,tv-futbol,0.0
2000,,,,,FIBRA,tv-futbol,0.0
2007,,,,SI,ADSL,tv-futbol,0.0
2017,,,,,FIBRA,tv-futbol,0.0
2008,,,SI,,FIBRA,tv-familiar,0.0
2007,,,,,FIBRA,tv-familiar,0.0
2007,,,,SI,FIBRA,tv-futbol,0.0
2002,,,,,FIBRA,tv-familiar,0.0
2018,,,,SI,ADSL,tv-familiar,0.0
2012,,,,SI,FIBRA,tv-futbol,0.0
2014,,,,,ADSL,tv-futbol,0.0
2004,,,,,ADSL,tv-futbol,0.0
1995,,,,SI,ADSL,tv-familiar,0.0
1998,,,,SI,ADSL,tv-futbol,0.0
2011,4.0,,,,ADSL,tv-familiar,1.0
2010,,,,,FIBRA,tv-futbol,0.0
2008,,,,,FIBRA,tv-familiar,0.0
1998,,,,,FIBRA,tv-futbol,0.0
1998,,,,,ADSL,tv-total,0.0
2001,,,,,ADSL,tv-familiar,0.0
2017,,,,,FIBRA,tv-futbol,0.0
2003,,,,SI,ADSL,tv-futbol,0.0
2018,,,,,ADSL,tv-futbol,0.0
2013,,,,,ADSL,tv-futbol,0.0
2002,,,,,ADSL,tv-familiar,0.0
2013,,,,SI,FIBRA,tv-familiar,0.0
2016,,,,,FIBRA,tv-total,0.0
2000,,,,,ADSL,tv-familiar,0.0
2016,,,,SI,ADSL,tv-familiar,0.0
2017,,,,,FIBRA,tv-total,0.0
2019,,,,,FIBRA,tv-futbol,0.0
2006,,,,,ADSL,tv-futbol,0.0
2006,,,,,FIBRA,tv-familiar,0.0
2001,,,,,FIBRA,tv-familiar,0.0
1996,,SI,,,ADSL,tv-futbol,1.0
2010,,,,,ADSL,tv-futbol,0.0
2015,,,,,FIBRA,tv-total,0.0
2002,,,,,FIBRA,tv-familiar,0.0
2005,,,,,FIBRA,tv-familiar,0.0
1997,,,SI,,FIBRA,tv-familiar,0.0
2014,,,,,FIBRA,tv-futbol,0.0
2014,,,,,FIBRA,tv-futbol,0.0
2007,,,,,ADSL,tv-familiar,0.0
2018,,,,SI,FIBRA,tv-familiar,0.0
2007,4.0,SI,,,ADSL,tv-total,1.0
2002,,,,,ADSL,tv-total,0.0
1995,,,,,ADSL,tv-familiar,0.0
2018,,,,,FIBRA,tv-futbol,0.0
2013,1.0,,,,ADSL,tv-familiar,1.0
2019,,,,,FIBRA,tv-futbol,0.0
2000,,,,,FIBRA,tv-familiar,0.0
2019,,,,,ADSL,tv-futbol,0.0
2006,,,,,FIBRA,tv-futbol,0.0
2018,,,,,ADSL,tv-futbol,0.0
1995,,,,,FIBRA,tv-familiar,0.0
2009,,,,,FIBRA,tv-familiar,0.0
1997,1.0,,,SI,FIBRA,tv-familiar,0.0
2000,,,,,FIBRA,tv-futbol,0.0
2011,,,,,ADSL,tv-familiar,0.0
2008,,,,,ADSL,tv-total,0.0
1995,,,,,ADSL,tv-familiar,0.0
2013,4.0,,,SI,ADSL,tv-familiar,0.0
2005,,,,,ADSL,tv-futbol,0.0
1997,,,,,FIBRA,tv-total,0.0
2004,,,SI,,FIBRA,tv-familiar,0.0
2004,,,,,FIBRA,tv-futbol,0.0
2011,,,,,FIBRA,tv-familiar,0.0
2005,,,,,ADSL,tv-futbol,1.0
2010,,,,,FIBRA,tv-futbol,0.0
2001,,,,,FIBRA,tv-familiar,0.0
1998,,,,,ADSL,tv-familiar,0.0
2014,,,,,ADSL,tv-futbol,1.0
2003,,,,,ADSL,tv-futbol,0.0
2001,,,,SI,ADSL,tv-familiar,0.0
2000,,,,SI,ADSL,tv-futbol,0.0
1995,,,,,ADSL,tv-futbol,0.0
2015,,,,SI,ADSL,tv-futbol,0.0
1999,,,SI,,FIBRA,tv-total,0.0
2007,,,,SI,ADSL,tv-futbol,0.0
2003,,,,,FIBRA,tv-total,0.0
2003,,,,,FIBRA,tv-familiar,0.0
2019,,,,,FIBRA,tv-total,0.0
2009,,,,,ADSL,tv-futbol,0.0
2011,,,,,FIBRA,tv-familiar,0.0
2015,,,,,FIBRA,tv-familiar,0.0
1998,,,,,ADSL,tv-total,0.0
2015,,,SI,,FIBRA,tv-futbol,0.0
2017,,,,,FIBRA,tv-total,0.0
2003,,,,,ADSL,tv-futbol,0.0
2019,,,,,FIBRA,tv-futbol,0.0
1996,,,,,ADSL,tv-familiar,0.0
2016,,,,,FIBRA,tv-futbol,0.0
2012,,,,,ADSL,tv-total,0.0
2012,,,,,FIBRA,tv-futbol,0.0
2011,,,,,ADSL,tv-total,0.0
